Region,Site,Samples,Colony,Treatment,Chl,Prot,MLG,mtORF
Coiba,Uvas,00516 green,764,33,66.84247253,1.375935829,9,1
Coiba,Uvas,00599 green,764,34.5,28.42762834,0.26119403,9,1
Coiba,Uvas,00515 green,764,36,0,0,9,1
Coiba,Uvas,00509 green,764,37.5,2.844602627,0.098944591,9,1
Coiba,Uvas,00520 green,764,39,0,0,9,1
Coiba,Uvas,00520 green,764,39,0,0,9,1
Coiba,Uvas,00243 yellow,765,28.5,55.65980172,1.238005644,32,1
Coiba,Uvas,00240 yellow,765,30,145.1658112,3.245614035,32,1
Coiba,Uvas,00227 yellow,765,31.5,79.26114341,1.058227848,32,1
Coiba,Uvas,00232 yellow,765,33,94.45496516,0.851784081,32,1
Coiba,Uvas,00244 yellow,765,34.5,5.141030778,0.224403927,32,1
Coiba,Uvas,00229 yellow,765,36,3.178031472,0.016198704,32,1
Coiba,Uvas,00237 yellow,765,37.5,8.936465766,0,32,1
Coiba,Uvas,00245 yellow,765,39,0,0,32,1
Coiba,Uvas,NA,NA,NA,NA,NA,NA,NA
Coiba,Uvas,NA,NA,NA,NA,NA,NA,NA
Coiba,Uvas,NA,NA,NA,NA,NA,NA,NA
Coiba,C. Afuera,NA,NA,NA,NA,NA,NA,NA
Coiba,C. Afuera,NA,NA,NA,NA,NA,NA,NA
Coiba,C. Afuera,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,00534 green,NA,31.5,85.01469985,0.559701493,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,02404 orange,NA,33,146.379427,1.231671554,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,00539 green,NA,39,0,0,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Coiba,B. Damas,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
Las Perlas,Mogo mogo,NA,NA,NA,NA,NA,NA,NA
