sample_uid	C1d	C42.2	C1mt	C1	C42a	C3cg	C1b	C1nq	32895_C	C1k	C3cw	C1bi	C42bh	C115k	C45c	C1nr	C42ay	C42ax	C42ap	52404_C	270721_C	C1au	C42bg	C1ey	92271_C	126_C	115_C	C3	748512_C	33417_C	92259_C	495627_C	92250_C	33647_C	92366_C	C41p	271845_C	121_C	488_C	C1j	C42ak	2321232_C	2837576_C	33564_C	69849_C	C42al	C42ao	2837573_C	434968_C	C120b	487_C	52548_C	21739_C	54823_C	C1hq	69850_C	C1hk	C42cv	270564_C	C1ex	517266_C	C42bt	93428_C	33136_C	498_C	139_C	92551_C	92245_C	C45e	C3tf	33119_C	54824_C	455097_C	71249_C	93653_C	284_C	C1c	610081_C	D1	D1as	D1ba	D1bb	D1at	D4	D6	D2a	D1ax	D1bd	D1ea	D1dy	D1bg	D1dz	D1au	D1ad	D1h	D1aw	482002_D	D1ev	6882_D	481781_D	D1eb	D1by	481782_D	D1en	D1jk	D1ed	D2.2	D1bc	D1ez	481783_D	D2d	D1ec	D1ej	690869_D	649111_D	2837571_D	476111_D	762858_D	459653_D	2175256_D	541910_D	688628_D	D4bj	104614_D	104606_D	D17e	489831_D	D1bx	547038_D	D17d	484013_D	D17c	D1gs	D1r	276872_D	482003_D	464898_D	21693_D	484478_D	482273_D	465144_D	649113_D	2456367_D	D17	457761_D	D1fa	38583_D	659164_D	481967_D	23011_D	482272_D	D1fr	24553_D	1178507_D	45779_D	D1ew	D4af	2837574_D	98812_D	457779_D	D1hh	465158_D	2837572_D	D1ig	276215_D	672421_D	D17ab	14626_D	497378_D	10397_D	2837575_D	D1hr	467224_D	57689_D	D1ai	2444140_D	541901_D	2579_D	472302_D	464289_D	457777_D	13989_D	455073_D	460395_D	465826_D	D17ac	D17j	455628_D	455140_D	D17l	D17al	459633_D	2837577_D	500124_D	689670_D	D17k	2980_D	456707_D	610817_D	457749_D	465134_D	549542_D	10616_D
156885	1208	666	0	73	0	11	41	0	0	46	18	63	66	0	0	0	46	27	0	0	9	0	0	12	10	18	0	0	23	22	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	146	131	54	169	122	129	68	15	93	0	0	0	0	10	0	0	86	17	8	17	16	14	0	14	19	9	26	19	0	16	8	0	10	13	0	0	83	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156886	1364	772	0	78	0	16	32	0	0	64	21	72	57	0	0	0	59	32	0	0	0	0	0	10	0	14	13	0	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	277	272	27	221	140	69	111	18	16	0	0	0	0	0	0	0	10	70	11	57	48	16	0	48	23	19	34	19	0	0	24	0	0	0	0	15	28	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156887	1222	680	0	50	0	12	17	0	0	61	12	59	58	0	0	0	49	49	0	0	0	0	0	12	11	11	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614	298	302	20	283	101	74	123	22	9	0	0	0	0	0	10	0	0	54	0	68	52	0	0	52	20	27	41	12	0	0	22	0	0	0	9	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156772	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1206	73	91	135	236	209	466	0	40	134	0	0	0	0	38	17	19	108	0	17	0	0	0	22	0	0	0	0	16	25	88	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	30	0	0	0	0	0	0	0	20	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156811	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2072	118	159	202	513	337	753	28	71	231	0	0	0	0	59	30	29	220	0	32	0	0	30	23	0	0	0	0	21	35	144	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	36	0	0	0	0	0	0	0	38	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156809	1687	933	0	98	0	24	31	0	0	69	33	71	87	0	0	0	62	49	0	0	14	0	0	0	0	26	23	0	31	24	0	0	0	0	0	0	19	0	0	0	0	0	0	0	29	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1614	195	233	209	452	343	412	37	45	110	0	0	0	0	60	24	21	124	0	0	0	0	0	22	0	23	0	0	26	26	81	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	28	0	0	27	0	0	0	0	0	0	0	17	0	0	0	0	0	18	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740	312	108	427	455	108	193	16	53	128	0	0	119	0	37	0	28	132	0	24	0	0	21	0	0	28	0	0	0	43	22	0	29	0	24	0	0	24	0	15	13	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156884	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	281	58	349	293	58	63	11	41	90	0	0	114	0	26	0	26	14	0	16	0	0	15	0	0	14	17	0	0	49	14	0	11	0	8	0	0	0	0	17	16	8	0	25	0	0	0	0	14	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156812	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	494	121	621	523	114	163	26	71	163	19	0	155	29	52	0	43	21	0	26	0	0	16	0	0	0	16	0	22	115	24	0	39	0	18	0	0	0	0	31	39	17	0	26	0	0	0	0	34	21	30	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156847	43	18	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	172	53	240	239	54	81	6	38	67	14	0	57	0	16	0	12	12	0	17	0	0	0	8	0	6	8	0	10	24	8	0	14	0	6	0	0	0	0	13	22	0	0	17	0	0	0	0	0	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	156	46	231	192	30	58	6	19	58	0	0	80	0	24	0	9	28	0	0	0	0	0	0	0	9	6	0	0	31	7	0	21	0	8	0	0	9	0	19	7	26	0	0	0	0	0	0	11	6	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156799	1541	791	0	35	0	0	17	0	0	73	15	83	62	0	0	0	85	54	0	0	21	0	0	18	0	25	0	0	24	20	0	0	0	16	19	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1358	665	157	844	608	171	284	28	110	190	0	0	261	0	75	0	65	36	0	58	0	0	24	0	0	34	0	0	0	133	60	0	93	0	36	0	0	0	0	0	0	53	0	48	0	0	0	0	55	40	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156824	2902	154	453	140	0	58	43	328	102	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156857	3744	268	534	253	0	79	69	549	135	0	28	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156759	3259	194	517	181	0	82	58	444	98	0	32	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156793	5683	380	860	310	0	143	93	728	180	57	39	0	0	46	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156748	3734	259	542	189	0	86	66	463	138	0	32	0	0	42	29	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156785	6054	475	931	370	0	155	145	795	221	56	63	0	0	0	64	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156823	3368	306	521	215	0	101	64	338	100	38	41	0	0	39	33	0	0	0	0	25	0	22	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	13	11	8	0	4	4	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
