sample_uid	C1d/C1-C1mt-C42.2-C3cg-C1b-C3cw	C1d/C42.2/C1/C3cg-C1b-C3cw-C45c-C115k	C1d-C42.2-C1-C1k-C1b-C3cg	C1d-C1mt-C1nq-C42.2-C1	C1d-C1mt-C42a-C42.2-C1	C1d-C42.2-C1-C1bi	C1d-C42.2-C1-C1b-C3cg-C3cw	C1d-C42.2-C1-C1b-C3cg-C3cw-C45c	C1d-C1mt-C42.2-C1-C3cg-C1b	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C42a/C42.2/C1/C1b-C1j-C1au-C3	C1d-C1mt-C42.2-C1-C3cg	C42a/C42.2-C1-C42ak-C1b-C42al	C1d-C42.2-C1-C1nr	C42a/C42.2-C1-C1b-C42ak-C1j	D1-D1as-D1ba-D1bb-D4-D1at-D6-D1ax-D1dy-D1ea	D1-D1at-D1as-D1ba-D2a-D4-D6	D1-D1as-D1at-D6-D4-D1bb-D1ba-D1bd	D1/D1bb-D1as-D1at-D4-D1ba-D6-D1bg-D1ax	D1-D1as-D1at-D4-D6-D1ba-D1ax-D1bb	D1/D1bb-D1as-D1bg-D1at-D1ba-D6-D4	D1-D1at-D1as-D1bc-D1bg-D6-D1bb-D4
156752	3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156830	5299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156765	5203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156757	5353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156794	1210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156827	5270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0
156866	5211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0
156858	5009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0
156868	4425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0
156749	4705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870	0	0	0	0	0	0
156751	3033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	0	0	0	0	0	0
156863	3558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284	0	0	0	0	0	0
156874	0	5632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156877	0	5226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156880	0	6990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156872	0	6566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156762	0	7458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0
156881	0	4061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156805	0	3816	0	0	0	0	0	0	0	0	0	0	0	0	0	1383	0	0	0	0	0	0
156879	0	2946	0	0	0	0	0	0	0	0	0	0	0	0	0	1163	0	0	0	0	0	0
156835	0	708	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0
156869	0	3258	0	0	0	0	0	0	0	0	0	0	0	0	0	2559	0	0	0	0	0	0
156846	0	3189	0	0	0	0	0	0	0	0	0	0	0	0	0	2622	0	0	0	0	0	0
156761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2962	0	0	0	0	0
156849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0
156871	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	6082	0	0	0	0	0
156851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1882	0	0	0	0	0
156777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1949	0	0	0	0	0
156776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3112	0	0	0	0	0
156850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1454	0	0	0	0	0
156775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871	0	0	0	0	0
156774	0	0	3149	0	0	0	0	0	0	0	0	0	0	0	0	0	2974	0	0	0	0	0
156891	0	0	3815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
